path_image,label
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00227.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00099.jpg,LYMPHOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00152.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00041.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00039.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00049.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00097.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00107.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00245.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00110.jpg,MONOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00277.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00163.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00376.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00042.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00154.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00259.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00208.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00384.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00223.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00375.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00200.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00126.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00256.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00296.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00303.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00127.jpg,MONOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00183.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00011.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00393.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00148.jpg,LYMPHOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00021.jpg,LYMPHOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00018.jpg,NEUTROPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00202.jpg,EOSINOPHIL
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00140.jpg,LYMPHOCYTE
/Users/yunhou/course/cs/455/CS6364_resnet_medical_classify/dataset/dataset-master/dataset-master/JPEGImages/BloodImage_00180.jpg,EOSINOPHIL
